Where are you from? 	고향이 어디십니까? 
`Oh, my God? `	`이런, 세상에! `
When did you first arrive in Korea? 	한국은 언제 처음으로 오셨습니까? 
Why won't you take this elevator? 	이 엘리베이터를 타시죠. 
Are you married? 	결혼하셨나요? 
`By the way, well… `	`그건 그렇구요, 저어… `
Which are you better at math or social science? 	수학과 사회 과목 중 어느 것을 더 잘합니까? 
I've got to run. 	서둘러 가야겠습니다. 
I have a headache when I sit at my desk. 	책상에 앉으면 머리가 아파요. 
I'll give it to you for ten dollars. 	10달러에 드리겠습니다. 
I never get tired of reading. 	독서는 아무리 해도 질리질 않아요. 
This is kinda cute. 	이건 꽤 귀여운걸요. 
I'm good at figures. 	나는 숫자에 강해요.(계산을 잘 해요.) 
`Sorry to trouble you, but can you tell me the time? `	`죄송합니다만, 그 시간을 좀 알려주시겠습니까? `
The first period is geography. 	1교시는 지리 시간입니다. 
You know how it is. 	그게 어떤 건지 알고 있으면서 그래요. 
Mr. Peterson hates late comers. 	피터슨 선생은 지각생을 싫어해요. 
Have you ever considered of it? 	그 점을 고려해 보셨습니까? 
Don't you feel tired? 	피곤하지 않으세요? 
Bottoms up. 	잔을 쭉 들이킵시다. 
I always seem to have too much work. 	저는 항상 일이 많은 것 같아요. 
Are you game? 	준비되셨나요? 
I think I'm busy as a spider. 	정신없이 바쁜 것 같아요. 
I hope you don't mind my asking. 	제가 질문 하나 드려도 되겠죠? 
I'll bet no one in my office is as busy as! 	우리 사무실에서 저만큼 바쁜 사람은 없을 거예요. 
I want to have a word with you. 	말씀 드릴 게 있는데요. 
Is Mr. Lee working hard? 	이 선생님은 열심히 일을 합니까? 
Sorry to have kept you too long. 	너무 오래 기다리게 해서 죄송합니다. 
He is so fond of work. 	그는 일을 꽤 좋아해요. 
What took you so long? 	왜 그리 늦으셨나요? 
`Hi, Susie, we've been waiting for you. `	`수지, 안녕하세요. 오래 기다렸습니다. `
`Come on, I got a head for figures. `	`왜 이러세요, 전 숫자에는 머리가 잘 돌아간다구요. `
The bus broke down on the way. 	버스가 도중에서 고장 났어요. 
That's the way I figure. 	저도 그런 계산이었는데요. 
I'd like to have you meet my wife. 	제 부인을 소개드립니다. 
I don't know the p's and q's. 	난 그 차이를 잘 모르겠어요. 
I am awfully glad you and Jane are good friends. 	당신이 제인과 가까운 사이라니 정말 기쁘군요. 
I'm sitting on a fence. 	어찌해야 할 바를 모르겠습니다. 
What year are you in? 	몇 학년입니까? 
A hair of the dog. 	해장술. 
Nice talking to you. 	얘기 즐거웠습니다. 
Where to sis? 	어디까지 가십니까? 
I have a toothache. 	치통입니다. 
Would you fill this out? 	이 서류에 기입해 주시겠습니까? 
Does it hurt a lot? 	많이 아픈가요? 
You haven't got in touch with me for ten years. 	당신과 10년간 연락이 없었군요. 
`If the tooth is decayed, you much have it out. `	이가 상하셨으면 뽑으셔야지요. 
You gonna offer me a coffee? 	커피 한 잔 주시는 건가요? 
No wonder you had pain. 	통증이 있을 만 했군요. 
I thought you helped yourself to that million. 	자수성가하신 줄 알았어요. 
I guarantee that you won't feel anything at all. 	이제 전혀 통증이 없을 것으로 확신합니다. 
What have you been doing all these years? 	근래에 뭘 하고 지내셨습니까? 
Glad to have you with us. 	모시게 되어 기쁩니다. 
Scott's got very high opinion of you. 	스콧이 당신 칭찬을 하더군요. 
`When you get more time, you give me a call. `	시간이 날 때 전화해 주세요. 
I'll be reached 24 hours a day.	언제라도 전화하면 제가 받을 수 있어요. 
You haven't told me everything. 	저한테 전부 말하지 않았잖아요. 
We just have to handle it. 	우린 어떻게든 해 봐야 해요. 
I'll call you back. 	다시 전화 드리겠습니다. 
I'll right be down. 	바로 내려가겠습니다. 
Have you ever heard of a woman by the name of Nina Pica? 	니나 피카라는 이름을 가진 여자에 대해 들어보셨나요? 
`Look, I've got to take a break. `	`이봐요, 나 좀 쉬어야겠어요. `
I need to talk to you. 	할 말이 좀 있어요. 
You have to promise me what I tell you won't go any further. 	제가 한 말을 비밀로 해 주셔야 해요. 
Tom is under great strength. 	탐은 힘에 겨워해요. 
Here you go. 	여기 있습니다. 
Say hello to your father for me. 	댁의 부친께 제 안부 좀 전해주세요. 
This has nothing to do with money. 	이건 돈과는 아무 관계가 없어요. 
You have nothing you can do about it. 	이 점에 대해 당신이 할 수 있는 것은 없어요. 
How about dinner next week? 	다음 주 중에 저녁 식사나 할까요? 
`Oh, sure. What time should we be there? `	좋지요. 몇 시에 거기로 갈까요? 
God bless you! 	`신이여, 축복을 내리소서! `
This will make you feel better. 	이걸 드시면 나아질 거예요. 
Freeze! 	꼼짝 마라! 
What the hell is he? 	그 녀석이 도대체 누구야? 
Go ahead. / Give it a try. 	그렇게 하세요. / 해 보세요.
I don't think I can do it. 	할 수 없을 것 같아요. 
What exactly do you want? 	당신이 원하는 것이 정확히 뭐요? 
I'll tell you why. 	제가 그 이유를 말씀드리죠. 
I think I know what you mean. 	무슨 말씀하시는지 알 것 같아요. 
Keep the change. 	거스름돈은 팁입니다. 
I'll tell you something else. 	다른 말씀을 하나 드리겠습니다. 
`It sounds like a joke, but it's true. `	농담 같지만 정말입니다. 
This is Mr. Kim. 	이 분이 김 선생님이십니다. 
Nice to meet you. 	만나서 반가워요. 
I don't like eat between meals. 	군것질하는 것을 좋아하지 않아요. 
I'm on a diet. 	지금 다이어트 중이에요. 
Basically I'm a happy person. 	기본적으로 난 행복한 사람이에요. 
I don't think there's anything wrong with that. 	거기에 잘못이 있다고는 생각하지 않아요. 
What do you want for Christmas? 	크리스마스 때 뭘 갖고 싶니? 
What do you want in your stocking? 	산타 스타킹에 뭘 넣어주었으면 하니? 
What do you want me to do about it? 	제가 그 점에 대해 어떻게 했으면 하는 건가요? 
I'll take it back. 	한 말은 취소하겠어요. 
I should go Christmas shopping. 	크리스마스 선물을 사러 가야겠어요. 
What are we supposed to do? 	이제 우리는 어떻게 해야 하는 거죠? 
Let it lie. 	그냥 내버려둬요. 
Merry Christmas and Happy New Year!	즐거운 성탄절과 희망찬 새해를 맞이하십시오. 
It's none of your business. 	그건 당신이 알 바가 아니에요. 
Would you give me a ride? 	차편 좀 제공해 주시겠어요? 
Thank you for the ride. 	태워주셔서 감사합니다. 
`I'm sorry, it's too bad. `	정말 안됐군요. 
Would you like to go to the movies with me tonight? 	저하고 오늘밤에 극장 가실래요? 
`I'd love to, but I can't. `	그러고는 싶지만 안 되겠네요. 
Do you have any good memories of this past year? 	지난 한 해 동안 기억에 남는 일이라도 있으신가요? 
What would you like to be different next year? 	내년에는 어떻게 좀 달라졌으면 좋겠습니까? 
Would you do me a favor? 	제 부탁 좀 들어주시겠습니까? 
It depends on what it is. 	그야 무엇이냐에 따라 다르겠지요. 
There are times and places with things. 	다 때와 장소가 있는 법입니다. 
Happy New Year! 	새해 복 많이 받으세요. 
I'm sorry to tell you but … 	이런 말씀을 드려서 죄송합니다만 … 
Your friend is seriously injured. 	친구가 중상을 입었어요. 
Say what is in your heart. 	솔직하게 말하세요. 
She's got a short fuse. 	성격이 아주 급해요. 
Watch your mouth! 	말조심해요! 
Every family has a skeleton in the closet.	집집마다 내보이고 싶지 않은 비밀이 있는 법이에요. 
I'm sorry about last night. 	어제 밤 일에 대해 사과드립니다. 
I got embarrassed. 	당황했습니다. 
You'll be delighted. 	기쁘실 거예요. 
You are all wet. 	당신은 멍청하군요. 
Things have changed. 	상황이 변했어요. 
I'm broke today. 	오늘 돈이 한 푼도 없어요. 
Be my guest. 	그렇게 하십시오. 
Welcome to my house. 	저희 집에 오신 것을 환영합니다. 
What the hell is he talking about? 	그 사람은 도대체 무슨 말을 하고 있는 거요? 
